1,AAPL,Apple Inc.,"3,419.47B"
2,NVDA,NVIDIA Corporation,"3,179.78B"
3,MSFT,Microsoft Corporation,"3,046.07B"
4,AMZN,"Amazon.com, Inc.","2,428.47B"
5,GOOG,Alphabet Inc.,"2,269.19B"
6,GOOGL,Alphabet Inc.,"2,259.29B"
7,META,"Meta Platforms, Inc.","1,810.35B"
8,TSLA,"Tesla, Inc.","1,163.16B"
9,AVGO,Broadcom Inc.,"1,054.05B"
10,BRK.B,Berkshire Hathaway Inc.,"1,019.31B"
11,WMT,Walmart Inc.,812.58B
12,LLY,Eli Lilly and Company,790.86B
13,JPM,JPMorgan Chase & Co.,771.58B
14,V,Visa Inc.,679.88B
15,MA,Mastercard Incorporated,514.39B
16,ORCL,Oracle Corporation,487.96B
17,UNH,UnitedHealth Group Incorporated,485.02B
18,XOM,Exxon Mobil Corporation,474.00B
19,COST,Costco Wholesale Corporation,463.35B
20,NFLX,"Netflix, Inc.",433.72B
21,HD,"The Home Depot, Inc.",404.67B
22,PG,The Procter & Gamble Company,393.86B
23,JNJ,Johnson & Johnson,368.66B
24,BAC,Bank of America Corporation,360.75B
25,ABBV,AbbVie Inc.,336.82B
26,CRM,"Salesforce, Inc.",311.82B
27,TMUS,"T-Mobile US, Inc.",281.14B
28,KO,The Coca-Cola Company,275.01B
29,CVX,Chevron Corporation,274.27B
30,WFC,Wells Fargo & Company,265.32B
31,PLTR,Palantir Technologies Inc.,252.52B
32,CSCO,"Cisco Systems, Inc.",248.01B
33,ACN,Accenture plc,241.42B
34,IBM,International Business Machines Corporation,233.32B
35,MS,Morgan Stanley,224.95B
36,PM,Philip Morris International Inc.,224.54B
37,ABT,Abbott Laboratories,223.87B
38,AXP,American Express Company,222.37B
39,GS,"The Goldman Sachs Group, Inc.",221.83B
40,MRK,"Merck & Co., Inc.",220.79B
41,GE,General Electric Company,220.33B
42,TMO,Thermo Fisher Scientific Inc.,218.59B
43,LIN,Linde plc,216.68B
44,MCD,McDonald's Corporation,210.90B
45,BX,Blackstone Inc.,207.93B
46,ISRG,"Intuitive Surgical, Inc.",207.92B
47,NOW,"ServiceNow, Inc.",207.71B
48,DIS,The Walt Disney Company,200.41B
49,PEP,"PepsiCo, Inc.",198.36B
50,ADBE,Adobe Inc.,188.52B
51,QCOM,QUALCOMM Incorporated,185.76B
52,T,AT&T Inc.,176.10B
53,CAT,Caterpillar Inc.,175.68B
54,AMD,"Advanced Micro Devices, Inc.",174.30B
55,RTX,RTX Corporation,170.45B
56,VZ,Verizon Communications Inc.,167.88B
57,TXN,Texas Instruments Incorporated,163.98B
58,INTU,Intuit Inc.,162.03B
59,BKNG,Booking Holdings Inc.,161.76B
60,SPGI,S&P Global Inc.,160.92B
61,AMGN,Amgen Inc.,157.79B
62,UBER,"Uber Technologies, Inc.",157.09B
63,BSX,Boston Scientific Corporation,155.12B
64,BLK,"BlackRock, Inc.",153.65B
65,C,Citigroup Inc.,153.40B
66,SCHW,The Charles Schwab Corporation,152.27B
67,ANET,Arista Networks Inc,149.24B
68,SYK,Stryker Corporation,149.21B
69,DHR,Danaher Corporation,148.68B
70,PGR,The Progressive Corporation,146.80B
71,UNP,Union Pacific Corporation,146.76B
72,AMAT,"Applied Materials, Inc.",146.29B
73,PFE,Pfizer Inc.,145.87B
74,LOW,"Lowe's Companies, Inc.",142.26B
75,NEE,"NextEra Energy, Inc.",140.39B
76,TJX,"The TJX Companies, Inc.",140.17B
77,BA,The Boeing Company,136.13B
78,HON,Honeywell International Inc.,133.64B
79,KKR,KKR & Co. Inc.,132.00B
80,FI,"Fiserv, Inc.",130.89B
81,CMCSA,Comcast Corporation,129.95B
82,SBUX,Starbucks Corporation,127.45B
83,PANW,"Palo Alto Networks, Inc.",127.26B
84,DE,Deere & Company,126.81B
85,COP,ConocoPhillips,125.49B
86,ADP,"Automatic Data Processing, Inc.",124.49B
87,ETN,Eaton Corporation plc,123.72B
88,VRTX,Vertex Pharmaceuticals Incorporated,120.86B
89,GILD,"Gilead Sciences, Inc.",119.69B
90,MDT,Medtronic plc,115.42B
91,BMY,Bristol-Myers Squibb Company,115.30B
92,MMC,"Marsh & McLennan Companies, Inc.",111.68B
93,PLD,"Prologis, Inc.",110.54B
94,CB,Chubb Limited,108.25B
95,LRCX,Lam Research Corporation,105.68B
96,LMT,Lockheed Martin Corporation,104.60B
97,GEV,GE Vernova Inc.,104.28B
98,CRWD,"CrowdStrike Holdings, Inc.",103.84B
99,MU,"Micron Technology, Inc.",102.84B
100,ADI,"Analog Devices, Inc.",101.81B
101,NKE,"NIKE, Inc.",101.59B
102,KLAC,KLA Corporation,99.36B
103,CEG,Constellation Energy Corporation,96.91B
104,UPS,"United Parcel Service, Inc.",96.52B
105,ICE,"Intercontinental Exchange, Inc.",95.85B
106,SO,The Southern Company,92.67B
107,APO,"Apollo Global Management, Inc.",92.47B
108,MCO,Moody's Corporation,91.21B
109,ELV,"Elevance Health, Inc.",90.78B
